regime,radius,radius_over_lc,total,temporal,spatial,mc_total,mc_se,mc_ci_low,mc_ci_high,variance_total,mT,mS
interior,0.43,0.43,0.43236698853336875,0.19345855982267313,0.2389084287106956,0.4356779089318447,0.002729808436585654,0.43032748439613683,0.4410283334675526,0.43236698853336875,0.5,0.8417707352622497
interior,0.432,0.432,0.4319815660779778,0.19426469812652036,0.2377168679514574,0.4297806262443863,0.0027030617029602283,0.42448262530658426,0.4350786271821883,0.4319815660779778,0.5,0.8370040609776805
interior,0.434,0.434,0.4316012808212976,0.1950700306949985,0.2365312501262991,0.43226923236417664,0.0027261049791697948,0.4269260666050038,0.43761239812334946,0.4316012808212976,0.5,0.8322722840335417
interior,0.436,0.436,0.4312261039281537,0.19587455833344036,0.23535154559471333,0.42951790640096044,0.002690856112806772,0.42424382841985914,0.43479198438206174,0.4312261039281537,0.5,0.82757506003751
interior,0.438,0.438,0.43085600671039875,0.19667828184637348,0.23417772486402527,0.4291781200984934,0.0027230603008184086,0.4238409219088893,0.4345153182880975,0.43085600671039875,0.5,0.8229120490598487
interior,0.44,0.44,0.4304909606261772,0.1974812020375215,0.2330097585886557,0.43175785105755576,0.002747813672371504,0.4263721362597076,0.4371435658554039,0.4304909606261772,0.5,0.8182829155612728
interior,0.442,0.442,0.4301309372791914,0.19828331970980473,0.23184761756938665,0.43022759409809397,0.002722846030652159,0.42489081587801575,0.4355643723181722,0.4301309372791914,0.5,0.813687328322204
interior,0.444,0.444,0.4297759084179732,0.19908463566534085,0.23069127275263232,0.42869930902779435,0.0027096866806687317,0.42338832313368363,0.43401029492190507,0.4297759084179732,0.5,0.8091249603733985
interior,0.446,0.446,0.42942584593515787,0.19988515070544588,0.22954069522971196,0.43409872723148735,0.0027408612149167804,0.42872663925025045,0.43947081521272424,0.42942584593515787,0.5,0.8045954889278987
interior,0.448,0.448,0.42908072186676255,0.20068486563063492,0.22839585623612763,0.43117004363440986,0.0026988278402318593,0.4258803410675554,0.4364597462012643,0.42908072186676255,0.5,0.8000985953142961
interior,0.45,0.45,0.4287405083914677,0.20148378124062294,0.2272567271508448,0.4293337792475872,0.0027379351387443237,0.4239674263756483,0.4347001321195261,0.4287405083914677,0.5,0.7956339649112643
interior,0.452,0.452,0.4284051778299028,0.20228189833432575,0.22612327949557703,0.428597976620002,0.00270326513720176,0.42329957695108655,0.4338963762889174,0.4284051778299028,0.5,0.7912012870833406
interior,0.454,0.454,0.4280747026439343,0.20307921770986037,0.22499548493407392,0.4248527634850734,0.002697867748876135,0.4195649426972762,0.4301405842728706,0.4280747026439343,0.5,0.7868002551179254
interior,0.456,0.456,0.427749055435959,0.20387574016454624,0.22387331527141272,0.42686887160977577,0.0027044402062702103,0.42156816880548614,0.4321695744140654,0.427749055435959,0.5,0.7824305661634741
interior,0.458,0.458,0.42742820894819944,0.20467146649490608,0.22275674245329333,0.4270358811456445,0.0027007219583978634,0.4217424661071847,0.4323292961841043,0.42742820894819944,0.5,0.7780919211688532
interior,0.46,0.46,0.42711213606200316,0.20546639749666595,0.2216457385653372,0.42331106228852317,0.0026796250808009212,0.4180589971301534,0.42856312744689296,0.42711213606200316,0.5,0.7737840248238379
interior,0.462,0.462,0.42680080979714663,0.2062605339647573,0.2205402758323893,0.4257648374104713,0.0026785863224267244,0.4205148082185149,0.43101486660242766,0.42680080979714663,0.5,0.7695065855007255
interior,0.464,0.464,0.42649420331114,0.20705387669331632,0.2194403266178237,0.429423902418169,0.0027137456507853232,0.4241049609426298,0.43474284389370826,0.42649420331114,0.5,0.7652593151970357
interior,0.466,0.466,0.4261922898985387,0.20784642647568596,0.21834586342285273,0.42342237303622593,0.0026616739817872334,0.418205492031923,0.4286392540405289,0.4261922898985387,0.5,0.7610419294792835
interior,0.468,0.468,0.4258950429902556,0.20863818410441615,0.21725685888583945,0.4261030922556437,0.0026989090420113065,0.42081323053330155,0.4313929539779858,0.4258950429902556,0.5,0.7568541474277913
interior,0.47000000000000003,0.47000000000000003,0.4256024361528783,0.20942915037126442,0.21617328578161388,0.429002479526744,0.0027320372172387713,0.423647686580956,0.434357272472532,0.4256024361528783,0.5,0.7526956915825266
interior,0.47200000000000003,0.47200000000000003,0.4253144430879891,0.2102193260671973,0.21509511702079182,0.42583570114119146,0.002711043659015118,0.4205220555695218,0.4311493467128611,0.4253144430879891,0.5,0.7485662878899345
interior,0.47400000000000003,0.47400000000000003,0.42503103763148853,0.21100871198239035,0.2140223256490982,0.42501973866373505,0.0026857080093505405,0.419755750965408,0.4302837263620621,0.42503103763148853,0.5,0.7444656656507526
interior,0.47600000000000003,0.47600000000000003,0.4247521937529224,0.2117973089062296,0.21295488484669278,0.4262805797415546,0.0027083971636918413,0.4209721213007186,0.4315890381823906,0.4247521937529224,0.5,0.7403935574687804
interior,0.47800000000000004,0.47800000000000004,0.42447788555481214,0.21258511762731214,0.2118927679275,0.4271594557955624,0.0026939671991536617,0.42187928008522124,0.4324396315059036,0.42447788555481214,0.5,0.7363496992005872
interior,0.48,0.48,0.424208087271988,0.21337213893344653,0.21083594833854147,0.4263013867344468,0.0026833205659240415,0.42104207842523567,0.4315606950436579,0.424208087271988,0.5,0.732333829906133
interior,0.482,0.482,0.4239427732709269,0.21415837361165446,0.20978439965927245,0.4227397211565487,0.0026685108187013934,0.41750943995189393,0.4279700023612034,0.4239427732709269,0.5,0.7283456918002928
interior,0.484,0.484,0.4236819180490916,0.21494382244817045,0.20873809560092116,0.4240953510314114,0.002674924655486214,0.4188524987066584,0.42933820335616435,0.4236819180490916,0.5,0.7243850302052532
interior,0.486,0.486,0.4234254962342752,0.21572848622844354,0.20769701000583168,0.42234859967523225,0.0026557658646704846,0.4171432985804781,0.4275539007699864,0.4234254962342752,0.5,0.7204515935037726
interior,0.488,0.488,0.42317348258394744,0.2165123657371375,0.20666111684680993,0.42759719018578596,0.002717552101645956,0.4222707880665599,0.43292359230501204,0.42317348258394744,0.5,0.7165451330932822
interior,0.49,0.49,0.4229258519846048,0.21729546175813186,0.20563039022647295,0.4194055028793161,0.002664579805443453,0.4141829264606469,0.4246280792979853,0.4229258519846048,0.5,0.71266540334081
interior,0.492,0.492,0.4226825794511243,0.21807777507452275,0.20460480437660158,0.42604002655955225,0.002700827935238991,0.4207464038064838,0.4313336493126207,0.4226825794511243,0.5,0.7088121615387137
interior,0.494,0.494,0.42244364012611957,0.2188593064686235,0.2035843336574961,0.4217721181417729,0.002676463844517184,0.41652624900651924,0.42701798727702656,0.42244364012611957,0.5,0.7049851678612017
interior,0.496,0.496,0.42220900927930116,0.21964005672196574,0.20256895255733542,0.42225091511405377,0.0026654054142280924,0.4170267205021667,0.4274751097259408,0.42220900927930116,0.5,0.7011841853216303
